RM1912000.031272
Normal   20/01/2019 00:02:11 20/01/2019 00:03:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6
0001201 0020 0001201 0000 07
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2
1 0 1 01200 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.0781,5.0000,5.1408,41.0000,5.0928,0.0000,136.0000
5.0782,11.0000,5.1366,47.0000,5.0934,0.0000,131.5200
5.0771,6.0000,5.1354,42.0000,5.0934,0.0000,132.8000
5.0796,9.0000,5.1368,39.0000,5.0928,0.0000,131.0400
5.0785,5.0000,5.1397,47.0000,5.0933,0.0000,129.2800
5.0783,5.0000,5.1391,74.0000,5.0929,0.0000,132.1600
5.0769,5.0000,5.1377,47.0000,5.0922,0.0000,130.4000
5.0768,8.0000,5.1389,50.0000,5.0939,0.0000,136.0000
5.0784,4.0000,5.1375,53.0000,5.0925,0.0000,135.6800
5.0774,3.0000,5.1351,37.0000,5.0937,0.0000,138.2400
5.0790,3.0000,5.1369,38.0000,5.0942,0.0000,139.0400
5.0786,4.0000,5.1369,53.0000,5.0920,0.0000,134.8800
5.0789,5.0000,5.1353,36.0000,5.0935,0.0000,130.7200
5.0776,9.0000,5.1386,33.0000,5.0938,0.0000,137.4400
5.0774,6.0000,5.1424,45.0000,5.0932,0.0000,131.6800
5.0775,9.0000,5.1399,47.0000,5.0932,0.0000,136.3200
5.0781,7.0000,5.1379,44.0000,5.0924,0.0000,134.0800
5.0768,6.0000,5.1384,45.0000,5.0922,0.0000,132.8000
5.0771,2.0000,5.1353,39.0000,5.0934,0.0000,136.0000
5.0767,3.0000,5.1357,34.0000,5.0926,0.0000,132.4800
5.0774,9.0000,5.1371,45.0000,5.0936,0.0000,133.2800
5.0782,11.0000,5.1357,42.0000,5.0932,0.0000,135.8400
5.0780,4.0000,5.1328,39.0000,5.0920,0.0000,134.4000
5.0790,5.0000,5.1362,49.0000,5.0943,0.0000,134.7200
5.0785,5.0000,5.1386,47.0000,5.0942,0.0000,141.6000
5.0771,3.0000,5.1352,40.0000,5.0928,0.0000,131.0400
5.0777,7.0000,5.1374,35.0000,5.0935,0.0000,135.2000
5.0755,8.0000,5.1368,48.0000,5.0937,0.0000,130.8800
5.0770,5.0000,5.1341,60.0000,5.0925,0.0000,133.2800
5.0791,3.0000,5.1351,55.0000,5.0933,0.0000,129.1200
5.0776,2.0000,5.1355,44.0000,5.0941,0.0000,124.9600
5.0778,2.0000,5.1371,51.0000,5.0934,0.0000,128.9600
5.0771,6.0000,5.1388,46.0000,5.0930,0.0000,133.7600
5.0777,7.0000,5.1380,37.0000,5.0928,0.0000,129.6000
5.0767,7.0000,5.1338,44.0000,5.0933,0.0000,128.4800
5.0788,3.0000,5.1341,41.0000,5.0925,0.0000,128.6400
5.0785,7.0000,5.1367,52.0000,5.0922,0.0000,131.3600
5.0773,2.0000,5.1405,48.0000,5.0922,0.0000,138.7200
5.0764,8.0000,5.1391,43.0000,5.0929,0.0000,142.7200
5.0768,6.0000,5.1367,50.0000,5.0935,0.0000,131.3600
5.0786,7.0000,5.1373,33.0000,5.0937,0.0000,135.2000
5.0782,4.0000,5.1351,49.0000,5.0939,0.0000,133.2800
5.0778,4.0000,5.1338,48.0000,5.0928,0.0000,135.2000
5.0778,4.0000,5.1359,42.0000,5.0933,0.0000,125.6000
5.0766,4.0000,5.1363,41.0000,5.0922,0.0000,133.9200
5.0775,3.0000,5.1375,42.0000,5.0933,0.0000,139.0400
5.0780,0.0000,5.1394,42.0000,5.0945,0.0000,135.0400
5.0783,5.0000,5.1373,42.0000,5.0941,0.0000,136.3200
5.0770,4.0000,5.1367,49.0000,5.0931,0.0000,140.4800
5.0770,4.0000,5.1341,34.0000,5.0937,0.0000,136.6400
5.0784,2.0000,5.1365,48.0000,5.0940,0.0000,132.8000
5.0770,2.0000,5.1382,36.0000,5.0934,0.0000,135.8400
5.0777,5.0000,5.1350,42.0000,5.0931,0.0000,140.9600
5.0785,6.0000,5.1353,26.0000,5.0938,0.0000,140.4800
5.0757,6.0000,5.1355,44.0000,5.0941,0.0000,130.8800
5.0759,2.0000,5.1364,42.0000,5.0925,0.0000,133.7600
5.0772,5.0000,5.1352,42.0000,5.0934,0.0000,130.5600
5.0766,1.0000,5.1379,52.0000,5.0931,0.0000,135.0400
5.0767,6.0000,5.1342,41.0000,5.0929,0.0000,132.0000
5.0759,7.0000,5.1378,42.0000,5.0934,0.0000,140.0000
5.0767,2.0000,5.1345,51.0000,5.0939,0.0000,139.6800
5.0779,0.0000,5.1346,60.0000,5.0940,0.0000,134.5600
5.0777,6.0000,5.1328,46.0000,5.0929,0.0000,136.8000
5.0771,8.0000,5.1355,48.0000,5.0928,0.0000,130.2400
5.0757,3.0000,5.1371,54.0000,5.0933,0.0000,137.2800
5.0764,4.0000,5.1330,31.0000,5.0935,0.0000,137.7600
5.0763,4.0000,5.1376,47.0000,5.0932,0.0000,132.0000
5.0775,4.0000,5.1343,58.0000,5.0935,0.0000,134.4000
5.0776,5.0000,5.1355,49.0000,5.0927,0.0000,137.7600
5.0761,8.0000,5.1390,46.0000,5.0919,0.0000,133.4400
5.0765,4.0000,5.1394,47.0000,5.0937,0.0000,137.4400
5.0774,4.0000,5.1367,52.0000,5.0931,0.0000,131.3600
5.0774,5.0000,5.1373,43.0000,5.0927,0.0000,129.9200
5.0764,0.0000,5.1376,50.0000,5.0919,0.0000,135.3600
5.0764,3.0000,5.1336,50.0000,5.0929,0.0000,132.4800
5.0764,4.0000,5.1362,53.0000,5.0940,0.0000,129.1200
5.0768,1.0000,5.1403,55.0000,5.0929,0.0000,128.8000
5.0779,3.0000,5.1374,37.0000,5.0922,0.0000,134.4000
5.0785,3.0000,5.1352,35.0000,5.0942,0.0000,134.8800
5.0761,6.0000,5.1379,35.0000,5.0935,0.0000,147.6800
5.0780,2.0000,5.1400,39.0000,5.0925,0.0000,140.8000
5.0774,4.0000,5.1360,52.0000,5.0927,0.0000,131.5200
5.0759,0.0000,5.1367,39.0000,5.0934,0.0000,144.1600
5.0771,2.0000,5.1399,45.0000,5.0929,0.0000,133.9200
5.0767,3.0000,5.1409,39.0000,5.0929,0.0000,134.7200
5.0763,3.0000,5.1392,58.0000,5.0921,0.0000,136.0000
5.0760,0.0000,5.1363,41.0000,5.0933,0.0000,135.6800
5.0770,3.0000,5.1334,43.0000,5.0932,0.0000,138.8800
5.0783,3.0000,5.1360,44.0000,5.0912,0.0000,131.8400
5.0757,5.0000,5.1360,42.0000,5.0928,0.0000,129.6000
5.0769,5.0000,5.1387,47.0000,5.0932,0.0000,138.7200
5.0763,0.0000,5.1387,46.0000,5.0942,0.0000,135.2000
5.0761,5.0000,5.1355,41.0000,5.0932,0.0000,138.5600
5.0778,1.0000,5.1359,51.0000,5.0931,0.0000,130.7200
5.0756,5.0000,5.1378,47.0000,5.0933,0.0000,135.0400
5.0754,3.0000,5.1358,36.0000,5.0923,0.0000,133.4400
5.0764,2.0000,5.1356,49.0000,5.0916,0.0000,129.1200
5.0760,1.0000,5.1384,37.0000,5.0933,0.0000,133.9200
5.0768,2.0000,5.1353,42.0000,5.0929,0.0000,135.5200
5.0767,1.0000,5.1392,38.0000,5.0925,0.0000,132.1600
5.0765,4.0000,5.1395,50.0000,5.0933,0.0000,131.2000
5.0766,2.0000,5.1362,35.0000,5.0926,0.0000,131.2000
