RM1912000.021110,,,,,,
Normal   20/01/2019 00:01:10 20/01/2019 00:02:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6,,,,,,
0001201 0020 0001201 0000 07,,,,,,
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0,,,,,,
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0,,,,,,
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1,,,,,,
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1,,,,,,
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2,,,,,,
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2,,,,,,
1 0 1 01201 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0,,,,,,
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.0783,7,5.1343,35,5.0929,0,135.04
5.0758,4,5.1347,50,5.0927,0,128.16
5.0767,7,5.1379,52,5.0927,0,133.12
5.0771,2,5.1358,58,5.0918,0,133.92
5.0766,8,5.1348,35,5.0928,0,135.36
5.0769,3,5.1343,43,5.0924,0,137.28
5.076,4,5.1351,34,5.0925,0,133.12
5.0766,2,5.1358,42,5.0925,0,133.92
5.0755,4,5.1315,48,5.0916,0,125.12
5.0773,2,5.1345,58,5.0927,0,128.64
5.0762,2,5.1369,37,5.0926,0,127.84
5.0757,6,5.1378,48,5.0928,0,130.4
5.0776,5,5.1395,43,5.0933,0,127.04
5.0773,3,5.1362,45,5.0925,0,127.36
5.0781,0,5.1349,50,5.0931,0,124.16
5.0753,3,5.1351,40,5.0916,0,127.2
5.0769,2,5.1362,36,5.0931,0,130.72
5.0767,2,5.1363,46,5.093,0,129.92
5.076,6,5.1371,46,5.0927,0,130.24
5.0776,6,5.1361,52,5.0931,0,127.04
5.0761,2,5.1345,39,5.0929,0,124.8
5.0763,3,5.1375,55,5.093,0,133.6
5.0764,5,5.137,39,5.0925,0,127.2
5.076,7,5.1391,48,5.0924,0,129.92
5.075,3,5.1341,42,5.0922,0,128.64
5.0752,3,5.1327,43,5.0936,0,134.08
5.0755,3,5.1356,39,5.0927,0,132.8
5.0767,2,5.1377,48,5.093,0,129.44
5.0763,4,5.1377,37,5.0933,0,131.36
5.0746,3,5.1357,42,5.0927,0,129.76
5.0759,3,5.1378,40,5.0941,0,128.64
5.0765,2,5.1373,35,5.0929,0,126.24
5.0769,1,5.1366,46,5.0934,0,133.44
5.0754,4,5.1365,39,5.093,0,133.44
5.0764,3,5.1356,39,5.0928,0,132.16
5.0754,2,5.1365,46,5.0928,0,128.48
5.0757,2,5.1365,54,5.0931,0,127.68
5.0756,2,5.1364,42,5.0922,0,127.36
5.075,5,5.1357,39,5.0921,0,132.16
5.0769,4,5.1344,44,5.0925,0,130.88
5.0765,6,5.1355,44,5.0926,0,132.16
5.0758,4,5.1371,44,5.0931,0,132.96
5.0761,3,5.1344,36,5.0917,0,131.52
5.0759,4,5.1356,37,5.092,0,130.88
5.0758,2,5.1386,41,5.0928,0,127.84
5.0753,2,5.1392,40,5.0916,0,133.76
5.0759,5,5.1346,39,5.093,0,131.68
5.0758,2,5.1337,44,5.0924,0,129.28
5.0769,2,5.135,39,5.0923,0,124.64
5.0777,6,5.1368,38,5.0935,0,129.92
5.0765,4,5.1374,53,5.094,0,129.28
5.0763,3,5.1338,44,5.093,0,126.08
5.0757,2,5.134,36,5.0927,0,128.8
5.0769,3,5.1356,40,5.0923,0,135.04
5.0753,3,5.1345,50,5.0921,0,132.96
5.0765,3,5.1352,46,5.0928,0,127.52
5.0758,2,5.1365,60,5.093,0,131.84
5.0761,1,5.1366,47,5.0923,0,128.64
5.0762,4,5.1342,44,5.0923,0,128.32
5.0769,6,5.1392,46,5.0921,0,132.8
5.0763,3,5.1368,60,5.0923,0,128.32
5.076,0,5.1328,46,5.0926,0,131.68
5.0755,2,5.1358,40,5.0922,0,129.28
5.0762,4,5.1355,53,5.0911,0,126.08
5.0772,2,5.1383,36,5.0926,0,120
5.0765,4,5.1379,57,5.0935,0,125.6
5.0764,5,5.1355,45,5.0934,0,124.32
5.0762,6,5.1371,31,5.0936,0,127.68
5.0773,5,5.1396,46,5.0918,0,122.56
5.0761,1,5.1383,35,5.0927,0,119.04
5.0746,3,5.1352,48,5.0936,0,125.92
5.0762,3,5.135,53,5.0915,0,125.44
5.0774,6,5.1365,33,5.0936,0,123.52
5.0766,1,5.1351,42,5.0919,0,123.84
5.0774,6,5.1367,33,5.0919,0,124.16
5.0765,1,5.1363,54,5.0931,0,128.32
5.0771,4,5.1339,40,5.0925,0,122.72
5.077,4,5.1356,43,5.0932,0,125.92
5.0759,0,5.1356,43,5.0919,0,132.16
5.077,2,5.1367,40,5.0925,0,126.72
5.0769,1,5.1375,38,5.0929,0,123.68
5.0765,1,5.1344,49,5.0931,0,131.84
5.0764,0,5.1355,33,5.0936,0,129.44
5.0768,3,5.1358,42,5.0937,0,121.92
5.0757,2,5.1375,44,5.0938,0,125.28
5.0773,1,5.135,37,5.0922,0,130.72
5.0769,2,5.1358,41,5.0917,0,128.8
5.0751,2,5.1357,46,5.0924,0,127.04
5.0759,1,5.1339,41,5.0926,0,134.88
5.0746,2,5.1375,42,5.0926,0,124.96
5.075,2,5.1349,44,5.0932,0,131.36
5.075,0,5.1338,41,5.0924,0,120.64
5.0761,0,5.1351,42,5.0917,0,123.36
5.0763,2,5.1356,35,5.092,0,126.24
5.0768,1,5.1351,37,5.0935,0,129.76
5.0769,2,5.1367,43,5.0926,0,130.4
5.0762,4,5.1347,50,5.0922,0,129.92
5.0753,4,5.1354,40,5.0932,0,127.36
5.0755,3,5.1362,47,5.093,0,128.96
5.0745,1,5.1345,35,5.0917,0,136.96
5.0747,4,5.1367,44,5.0918,0,139.04
5.0756,0,5.1344,44,5.0928,0,129.44
5.0751,3,5.1347,40,5.0921,0,134.56
5.0753,0,5.1348,47,5.094,0,129.76
5.0757,0,5.1372,41,5.0928,0,132.32
5.0776,5,5.1389,42,5.0928,0,131.2
5.0764,2,5.1363,46,5.0929,0,130.24
5.076,1,5.1353,52,5.0925,0,132.32
5.0752,4,5.1344,50,5.0936,0,131.04
5.0754,2,5.1346,51,5.0933,0,136
5.0752,3,5.1353,40,5.0934,0,127.68
5.0753,4,5.1357,43,5.0915,0,127.36
5.0749,2,5.1381,38,5.0942,0,128.8
5.0758,0,5.1377,35,5.0921,0,130.4
5.077,2,5.1369,31,5.0933,0,124.8
5.0752,1,5.1382,35,5.0928,0,131.04
5.0752,5,5.1391,39,5.0919,0,130.56
5.0764,6,5.1375,35,5.0928,0,129.76
5.075,4,5.1365,37,5.0928,0,132.32
5.0755,2,5.1356,53,5.0934,0,129.44
5.0759,4,5.137,35,5.0928,0,125.12
5.0746,3,5.1353,36,5.0921,0,135.84
5.0752,4,5.1322,41,5.0927,0,127.68
5.0768,6,5.1331,50,5.0925,0,128.64
5.0757,2,5.1347,29,5.0923,0,131.68
5.0784,2,5.1331,35,5.0929,0,127.2
5.0781,2,5.1338,54,5.093,0,126.72
5.0771,2,5.1352,39,5.0926,0,129.92
5.0749,2,5.1371,44,5.0935,0,123.68
5.0766,2,5.1332,28,5.0931,0,128.8
5.0751,1,5.1337,39,5.093,0,124.48
5.0756,3,5.1356,42,5.093,0,128.16
5.0778,2,5.1371,46,5.0933,0,136.64
5.0756,1,5.1348,44,5.0923,0,127.84
5.0759,2,5.1326,43,5.0917,0,130.56
5.0761,0,5.1376,41,5.092,0,130.88
5.0759,0,5.1365,51,5.0931,0,127.36
